0	122	1
0	127	1
0	135	1
1	100	1
1	139	1
1	141	1
2	37	1
2	78	1
2	119	1
3	120	1
3	142	1
3	152	1
4	111	1
4	124	1
4	153	1
5	112	1
5	118	1
5	132	1
6	43	1
6	86	1
6	111	1
7	61	1
7	143	1
7	155	1
8	92	1
8	127	1
8	152	1
9	79	1
9	115	1
9	142	1
10	131	1
10	132	1
10	138	1
11	27	1
11	127	1
11	132	1
12	128	1
12	133	1
12	140	1
13	49	1
13	116	1
13	142	1
14	87	1
14	91	1
14	155	1
15	87	1
15	123	1
15	147	1
16	110	1
16	122	1
16	128	1
17	51	1
17	110	1
17	116	1
18	99	1
18	136	1
18	144	1
19	87	1
19	106	1
19	138	1
20	131	1
20	133	1
20	152	1
21	74	1
21	110	1
21	132	1
22	93	1
22	107	1
22	154	1
23	86	1
23	117	1
23	145	1
24	122	1
24	135	1
24	150	1
25	92	1
25	110	1
25	128	1
26	105	1
26	107	1
26	141	1
27	30	1
27	121	1
27	151	1
28	89	1
28	137	1
28	147	1
29	129	1
29	133	1
29	147	1
30	111	1
30	143	1
30	151	1
31	88	1
31	103	1
31	118	1
32	131	1
32	134	1
32	144	1
33	130	1
33	136	1
33	143	1
34	106	1
34	107	1
34	137	1
35	83	1
35	152	1
35	155	1
36	88	1
36	137	1
36	143	1
37	114	1
37	129	1
37	147	1
38	112	1
38	132	1
38	141	1
39	95	1
39	101	1
39	136	1
40	134	1
40	138	1
40	142	1
41	65	1
41	105	1
41	114	1
42	86	1
42	97	1
42	112	1
42	119	1
43	99	1
43	129	1
43	135	1
43	148	1
44	124	1
44	129	1
44	145	1
44	147	1
45	11	1
45	75	1
45	108	1
45	122	1
46	46	1
46	100	1
46	134	1
46	143	1
47	106	1
47	121	1
47	139	1
47	142	1
48	77	1
48	112	1
48	132	1
48	140	1
49	28	1
49	124	1
49	134	1
49	152	1
50	87	1
50	120	1
50	145	1
50	155	1
51	108	1
51	138	1
51	140	1
51	145	1
52	109	1
52	118	1
52	142	1
52	152	1
53	75	1
53	81	1
53	84	1
53	138	1
54	99	1
54	145	1
54	146	1
54	149	1
55	91	1
55	96	1
55	128	1
55	148	1
56	91	1
56	99	1
56	106	1
56	121	1
57	96	1
57	124	1
57	140	1
57	151	1
58	44	1
58	141	1
58	142	1
58	154	1
59	105	1
59	128	1
59	130	1
59	133	1
60	55	1
60	113	1
60	115	1
60	130	1
61	110	1
61	121	1
61	132	1
61	143	1
62	106	1
62	113	1
62	123	1
62	137	1
63	68	1
63	88	1
63	89	1
63	140	1
64	120	1
64	143	1
64	148	1
64	152	1
65	69	1
65	86	1
65	112	1
65	144	1
66	76	1
66	114	1
66	119	1
66	139	1
67	107	1
67	130	1
67	131	1
67	133	1
68	134	1
68	136	1
68	146	1
68	153	1
69	33	1
69	105	1
69	136	1
69	140	1
70	33	1
70	35	1
70	111	1
70	139	1
71	77	1
71	87	1
71	131	1
71	136	1
71	146	1
72	80	1
72	98	1
72	116	1
72	118	1
72	132	1
73	89	1
73	104	1
73	122	1
73	128	1
73	133	1
74	80	1
74	128	1
74	129	1
74	142	1
74	144	1
75	99	1
75	106	1
75	108	1
75	125	1
75	137	1
76	19	1
76	81	1
76	82	1
76	103	1
76	120	1
77	76	1
77	78	1
77	102	1
77	139	1
77	155	1
78	93	1
78	101	1
78	116	1
78	148	1
